source_sheet,schluter_item,description,instock_sku,special_order_sku,schluter_item_norm,description_norm
SPO,EV/Q80TSBG,"QUADEC IN/OUT CORNER 5/16"" ALUM GREIGE",,100388313,EV/Q80TSBG,"QUADEC IN/OUT CORNER 5/16"" ALUM GREIGE"
SPO,EV/Q80TSI,"QUADEC IN/OUT CORNER 5/16"" ALUM IVORY",,100388321,EV/Q80TSI,"QUADEC IN/OUT CORNER 5/16"" ALUM IVORY"
SPO,EV/Q80TSLA,"QUADEC IN/OUT CORNER 5/16"" ALUM LT ANTHRACITE",,100388289,EV/Q80TSLA,"QUADEC IN/OUT CORNER 5/16"" ALUM LT ANTHRACITE"
SPO,EV/Q80MBW,"QUADEC IN/OUT CORNER 5/16"" ALUM MATTE WHT",,100942325,EV/Q80MBW,"QUADEC IN/OUT CORNER 5/16"" ALUM MATTE WHT"
SPO,EV/Q80TSG,"QUADEC IN/OUT CORNER 5/16"" ALUM PEWTER",,951500842,EV/Q80TSG,"QUADEC IN/OUT CORNER 5/16"" ALUM PEWTER"
SPO,EV/Q80ACG,"QUADEC IN/OUT CORNER 5/16"" ALUM POLISH CHROME",,951500712,EV/Q80ACG,"QUADEC IN/OUT CORNER 5/16"" ALUM POLISH CHROME"
SPO,EV/Q80TSR,"QUADEC IN/OUT CORNER 5/16"" ALUM RUSTIC BROWN",,100388263,EV/Q80TSR,"QUADEC IN/OUT CORNER 5/16"" ALUM RUSTIC BROWN"
SPO,EV/Q80AT,"QUADEC IN/OUT CORNER 5/16"" ALUM SATIN NICKEL",,951500654,EV/Q80AT,"QUADEC IN/OUT CORNER 5/16"" ALUM SATIN NICKEL"
SPO,EV/Q80TSSG,"QUADEC IN/OUT CORNER 5/16"" ALUM STONE GREY",,100388297,EV/Q80TSSG,"QUADEC IN/OUT CORNER 5/16"" ALUM STONE GREY"
SPO,EV/Q80EB,"QUADEC IN/OUT CORNER 5/16"" BRUSH STN STEEL",,951502184,EV/Q80EB,"QUADEC IN/OUT CORNER 5/16"" BRUSH STN STEEL"
SPO,EV/Q80E,"QUADEC IN/OUT CORNER 5/16"" STN STEEL",,951502010,EV/Q80E,"QUADEC IN/OUT CORNER 5/16"" STN STEEL"
SPO,EV/Q110TSB,"QUADEC IN/OUT CORNER 7/16"" ALUM BEIGE",,100388479,EV/Q110TSB,"QUADEC IN/OUT CORNER 7/16"" ALUM BEIGE"
SPO,EV/Q110TSOB,"QUADEC IN/OUT CORNER 7/16"" ALUM BRONZE",,100388487,EV/Q110TSOB,"QUADEC IN/OUT CORNER 7/16"" ALUM BRONZE"
SPO,EV/Q110TSC,"QUADEC IN/OUT CORNER 7/16"" ALUM CREAM",,100388446,EV/Q110TSC,"QUADEC IN/OUT CORNER 7/16"" ALUM CREAM"
SPO,EV/Q110TSDA,"QUADEC IN/OUT CORNER 7/16"" ALUM DARK ANTHRACITE",,100388412,EV/Q110TSDA,"QUADEC IN/OUT CORNER 7/16"" ALUM DARK ANTHRACITE"
SPO,EV/Q110TSBG,"QUADEC IN/OUT CORNER 7/16"" ALUM GREIGE",,100388453,EV/Q110TSBG,"QUADEC IN/OUT CORNER 7/16"" ALUM GREIGE"
SPO,EV/Q110TSI,"QUADEC IN/OUT CORNER 7/16"" ALUM IVORY",,100388461,EV/Q110TSI,"QUADEC IN/OUT CORNER 7/16"" ALUM IVORY"
SPO,EV/Q110TSLA,"QUADEC IN/OUT CORNER 7/16"" ALUM LT ANTHRACITE",,100388420,EV/Q110TSLA,"QUADEC IN/OUT CORNER 7/16"" ALUM LT ANTHRACITE"
SPO,EV/Q110MGS,"QUADEC IN/OUT CORNER 7/16"" ALUM MATTE BLK",,100942259,EV/Q110MGS,"QUADEC IN/OUT CORNER 7/16"" ALUM MATTE BLK"
SPO,EV/Q110MBW,"QUADEC IN/OUT CORNER 7/16"" ALUM MATTE WHT",,100942242,EV/Q110MBW,"QUADEC IN/OUT CORNER 7/16"" ALUM MATTE WHT"
SPO,EV/Q110TSG,"QUADEC IN/OUT CORNER 7/16"" ALUM PEWTER",,100388495,EV/Q110TSG,"QUADEC IN/OUT CORNER 7/16"" ALUM PEWTER"
SPO,EV/Q110TSR,"QUADEC IN/OUT CORNER 7/16"" ALUM RUSTIC BROWN",,100388404,EV/Q110TSR,"QUADEC IN/OUT CORNER 7/16"" ALUM RUSTIC BROWN"
SPO,EV/Q110TSSG,"QUADEC IN/OUT CORNER 7/16"" ALUM STONE GREY",,100388438,EV/Q110TSSG,"QUADEC IN/OUT CORNER 7/16"" ALUM STONE GREY"
SPO,EV/Q110EB,"QUADEC IN/OUT CORNER 7/16"" BRUSH STN STEEL",,951502274,EV/Q110EB,"QUADEC IN/OUT CORNER 7/16"" BRUSH STN STEEL"
SPO,EV/Q110E,"QUADEC IN/OUT CORNER 7/16"" STN STEEL",,951502089,EV/Q110E,"QUADEC IN/OUT CORNER 7/16"" STN STEEL"
SPO,EV/Q150AE,"QUADEC IN/OUT CORNER 9/16"" ALUM SATIN",,951500707,EV/Q150AE,"QUADEC IN/OUT CORNER 9/16"" ALUM SATIN"
SPO,EV/Q150EB,"QUADEC IN/OUT CORNER 9/16"" BRUSH STN STEEL",,951502335,EV/Q150EB,"QUADEC IN/OUT CORNER 9/16"" BRUSH STN STEEL"
SPO,EV/Q150E,"QUADEC IN/OUT CORNER 9/16"" STN STEEL",,951502219,EV/Q150E,"QUADEC IN/OUT CORNER 9/16"" STN STEEL"
SPO,EV/Q70EB,"QUADEC IN/OUT CORNER 9/32"" BRUSH STN STEEL",,100607001,EV/Q70EB,"QUADEC IN/OUT CORNER 9/32"" BRUSH STN STEEL"
SPO,EV/Q70E,"QUADEC IN/OUT CORNER 9/32"" STN STEEL",,100606995,EV/Q70E,"QUADEC IN/OUT CORNER 9/32"" STN STEEL"
SPO,ED/Q125GS,"QUADEC OUT CORNER 1/2"" ALUM BLACK",,100575372,ED/Q125GS,"QUADEC OUT CORNER 1/2"" ALUM BLACK"
